,,sum,sum,sum,mean,mean,mean
,,Sales,Sales,Sales,Sales,Sales,Sales
Product Category,,Furniture,Office Supplies,Technology,Furniture,Office Supplies,Technology
Province,Customer Segment,,,,,,
Alberta,Consumer,162768.026,69671.93000000002,272461.39650000003,3875.429190476191,633.381181818182,4394.538653225807
Alberta,Corporate,183668.46999999997,104750.15000000004,207666.63349999997,2962.3946774193546,717.4667808219181,3053.9210808823523
Alberta,Home Office,75358.29799999998,66599.01,93000.37700000004,2511.943266666666,652.9314705882352,2657.1536285714296
Alberta,Small Business,110949.47599999997,78433.68000000001,279464.044,2998.6344864864855,739.9403773584907,4299.4468307692305
British Columbia,Consumer,118935.35000000002,81564.76999999996,132430.807,2765.9383720930236,748.3006422018345,3395.661717948718
British Columbia,Corporate,235096.26800000004,208556.60000000003,284924.00299999997,2641.531101123596,931.0562500000002,2793.3725784313724
British Columbia,Home Office,161262.954,110930.86,231927.51450000002,2643.6549836065574,711.0952564102564,2863.3026481481484
British Columbia,Small Business,124950.55200000001,77003.75999999997,125174.34600000003,3047.5744390243904,611.1409523809521,2275.897200000001
Manitoba,Consumer,103836.98999999999,93882.35000000003,92606.02649999999,2884.360833333333,838.2352678571432,1747.2835188679244
Manitoba,Corporate,239492.22999999992,133412.34000000005,243046.54499999995,3628.6701515151503,789.4221301775151,3240.6205999999993
Manitoba,Home Office,82354.11,60685.13,106386.9145,2656.5841935483872,689.60375,2594.802792682927
Manitoba,Small Business,85951.48799999998,46432.07000000001,84762.588,2772.6286451612896,761.1814754098361,2825.4196
New Brunswick,Consumer,45006.859999999986,48055.98999999999,215192.22299999994,2812.928749999999,980.7344897959182,8276.623961538458
New Brunswick,Corporate,40694.151999999995,61295.549999999996,47923.21250000001,2260.786222222222,1201.8735294117646,2819.0125000000007
New Brunswick,Home Office,41224.814,35243.20999999999,67546.23999999999,2576.550875,749.8555319148934,3216.4876190476184
New Brunswick,Small Business,16203.733999999997,35018.55,30806.987999999998,1246.4410769230767,1000.5300000000001,2200.4991428571425
Newfoundland,Consumer,15851.210000000001,3547.0899999999997,6410.803,3170.242,354.70899999999995,1282.1606
Newfoundland,Corporate,12772.689999999999,10721.62,13149.918,2554.5379999999996,564.2957894736843,2191.653
Newfoundland,Home Office,8567.48,5705.18,2117.303,4283.74,713.1475,529.32575
Newfoundland,Small Business,16637.802,3883.27,3559.7014999999997,5545.934,388.327,711.9403
Northwest Territories,Consumer,20401.550000000003,6912.44,40418.8605,2914.507142857143,432.0275,4041.88605
Northwest Territories,Corporate,142402.77600000004,77869.48000000001,157221.68600000002,3311.69246511628,802.778144329897,3082.7781568627456
Northwest Territories,Home Office,79519.12,53267.380000000005,61220.53499999999,3786.6247619047617,1183.7195555555556,2782.7515909090903
Northwest Territories,Small Business,40514.46199999999,78799.63,42299.409999999996,2893.890142857142,1545.0907843137256,2488.2005882352937
Nova Scotia,Consumer,104839.942,53507.35999999998,56424.909999999996,2995.4269142857142,906.9044067796607,1612.1402857142857
Nova Scotia,Corporate,88844.33399999999,52712.2,84815.92300000001,2776.3854374999996,642.8317073170731,2494.585970588236
Nova Scotia,Home Office,98198.81400000001,18936.87,86299.8745,7553.754923076924,485.5607692307692,4109.517833333333
Nova Scotia,Small Business,48760.829999999994,54049.56000000001,70338.74499999998,2438.0415,844.5243750000002,2344.624833333333
Nunavut,Consumer,14370.51,12888.53,,7185.255,1288.853,
Nunavut,Corporate,18311.18,17250.600000000002,25416.235,2615.882857142857,958.3666666666668,2541.6235
Nunavut,Home Office,10863.923999999999,3278.3300000000004,8799.164499999999,2715.9809999999998,252.1792307692308,1466.5274166666666
Nunavut,Small Business,,5198.009999999999,,,577.5566666666666,
Ontario,Consumer,222697.39800000004,111436.65000000004,147726.2305,2818.9544050632917,683.660429447853,1758.6456011904763
Ontario,Corporate,398422.29399999994,299829.4,413835.49749999994,3018.3507121212115,876.6941520467836,2570.4068167701857
Ontario,Home Office,321527.9019999999,336534.95000000007,283872.79499999987,2949.797266055045,1136.9423986486488,2468.4590869565204
Ontario,Small Business,166969.90600000002,179630.24999999994,180729.20650000003,2351.6888169014087,911.8286802030453,2347.1325519480524
Prince Edward Island,Consumer,22082.709999999995,21369.57,12503.723999999998,2760.3387499999994,1017.5985714285714,1786.2462857142855
Prince Edward Island,Corporate,69124.584,39208.08000000001,106731.01699999999,2229.8252903225807,687.8610526315791,3557.7005666666664
Prince Edward Island,Home Office,19460.969999999998,17596.92,7049.602,4865.242499999999,1466.4099999999999,1174.9336666666666
Prince Edward Island,Small Business,60455.856,17613.4,16186.817,7556.982,880.6700000000001,2312.4024285714286
Quebec,Consumer,158780.53600000005,96249.17999999995,80223.84150000001,4178.435157894738,1132.3432941176466,2111.153723684211
Quebec,Corporate,179729.42400000003,106941.52000000003,176530.7545,4179.754046511629,798.0710447761196,3209.650081818182
Quebec,Home Office,173650.906,76894.61,161796.12049999993,3858.909022222222,674.5141228070175,4257.79264473684
Quebec,Small Business,93623.27799999996,71737.37,134037.53949999998,2127.801772727272,670.4427102803738,3350.9384874999996
Saskachewan,Consumer,73222.78399999999,49375.619999999995,91631.62999999999,2711.9549629629623,726.1120588235293,2545.323055555555
Saskachewan,Corporate,148016.76999999993,134479.96999999986,393288.93749999994,2466.9461666666657,614.0637899543373,3893.9498762376234
Saskachewan,Home Office,108190.98,128119.94999999998,102589.85999999999,2774.127692307692,800.7496874999999,1831.9617857142855
Saskachewan,Small Business,78125.774,73702.99999999999,83710.54400000001,2520.186258064516,921.2874999999998,2325.292888888889
Yukon,Consumer,66013.34799999998,42920.749999999985,95391.18550000002,3300.6673999999994,809.8254716981129,3077.135016129033
Yukon,Corporate,106265.40200000003,94288.11999999998,140198.31100000005,2361.4533777777783,772.8534426229506,2645.251150943397
Yukon,Home Office,105165.64600000002,46262.009999999995,106757.24650000001,3392.440193548388,711.7232307692307,3050.2070428571433
Yukon,Small Business,58453.678,38507.27999999999,75644.394,4175.2627142857145,713.0977777777777,3981.2838947368423
